ANT1,74.20,96.55,90.00,2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,65.33,86.13,270.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,49.75,84.65,90.00,10uF,PERFECT_0402_0402
C10,61.45,85.17,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C11,61.08,84.28,180.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,61.19,82.52,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,61.11,81.54,180.00,N.C.,NORDIC_NRF_3_RESC0201_L
C14,59.01,75.07,270.00,4.7µF,PERFECT_0402_0402
C15,59.08,81.58,90.00,1.0µF,PERFECT_0402_0402
C16,61.11,80.68,0.00,47nF,NORDIC_NRF_3_RESC0201_L
C17,60.97,73.16,180.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,63.06,73.19,180.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,64.92,74.68,270.00,100nF,NORDIC_NRF_3_RESC0201_L
C2,62.75,85.08,180.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,54.15,75.61,270.00,4.7uF/25V,PERFECT_0402_0402
C20,71.34,78.23,270.00,4.7µF,PERFECT_0402_0402
C21,71.27,80.79,90.00,4.7µF,PERFECT_0402_0402
C22,70.92,89.67,270.00,N.C.,NORDIC_NRF_3_RESC0201_L
C23,66.32,93.24,90.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C24,68.73,93.44,180.00,10uF,PERFECT_0402_0402
C25,69.80,95.68,270.00,22uF,PERFECT_0402_0402
C27,63.10,67.90,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C29,44.66,70.18,270.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C3,66.80,89.17,90.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,66.62,70.12,270.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C31,55.30,70.13,270.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C32,73.31,73.15,270.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C33,70.17,98.12,90.00,22uF,PERFECT_0402_0402
C34,69.48,72.56,90.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C37,64.40,89.88,180.00,1µF,PERFECT_0402_0402
C38,60.33,88.14,180.00,1µF,PERFECT_0402_0402
C39,62.59,91.23,90.00,10µF,PERFECT_0402_0402
C4,69.38,89.44,270.00,1pF,NORDIC_NRF_3_RESC0201_L
C42,64.98,94.02,180.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C43,64.44,92.98,180.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C5,64.96,76.53,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C6,70.29,75.91,0.00,4.7µF,PERFECT_0402_0402
C7,71.27,83.12,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C8,71.23,84.61,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C9,67.03,84.87,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
D2,56.86,73.95,270.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D3,59.73,91.87,270.00,USBLC6-2SC6Y,ESP32_C6_LIBRARY_3_SOT95P280X145-6N
D4,57.21,80.00,270.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D5,51.12,73.80,90.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
EPD_C1,47.84,86.22,180.00,1uF/50V,PERFECT_0402_0402
EPD_C10,47.69,75.53,90.00,1uF/50V,PERFECT_0402_0402
EPD_C11,45.79,75.11,0.00,1uF/50V,PERFECT_0402_0402
EPD_C12,43.44,75.08,0.00,1uF/50V,PERFECT_0402_0402
EPD_C2,47.81,87.40,180.00,1uF/50V,PERFECT_0402_0402
EPD_C5,49.09,80.67,90.00,0.1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C6,47.69,84.13,90.00,1uF/50V,PERFECT_0402_0402
EPD_C7,48.13,82.19,180.00,1uF/50V,PERFECT_0402_0402
EPD_C8,47.68,79.85,90.00,1uF/50V,PERFECT_0402_0402
EPD_C9,47.75,77.69,90.00,1uF/50V,PERFECT_0402_0402
IC1,62.72,87.27,90.00,BQ25180YBGR,BQ25180YBGR_BGA8C40P2X4_100X155X50
IC2,71.57,73.26,270.00,DRV2605YZFR,DRV2605YZFR_BGA9C50P3X3_144X144X62
IC3,66.79,73.86,90.00,BMA423,BMA423_BMA423
IC9,67.30,96.55,90.00,RT6160AWSC,RT6160AWSC_BGA15C40P3X5_140X230X60
J1,44.17,83.73,270.00,503480-2400,503480-2400_5034802400
J2,76.26,80.65,90.00,TC2030-IDC_TC2030-IDC,TC2030-IDC_TC2030IDC
J4,59.67,97.77,180.00,KH-TYPE-C-16P,KH-TYPE-C-16P_KINGHELM_KH-TYPE-C-16P
L1,68.08,89.19,90.00,3.9nH,NORDIC_NRF_2_RESC0402_L
L2,61.01,79.14,270.00,10µH,NORDIC_NRF_2_RESC0402_L
L3,59.64,79.18,90.00,15nH,NORDIC_NRF_2_RESC0402_L
L5,52.46,79.87,180.00,68uH,ESP32_C6_LIBRARY_2_IND_4828-WE-TPC_WRE
L7,67.11,99.81,0.00,FTC252012SR47MBCA,MLP2016SR47MT0S1_INDC2016X100N
P_PWR_EPD,55.27,89.56,180.00,10K,ERA-1AEB3401C_0201
Q1,53.06,89.50,90.00,20V/4.2A/52mΩ/1.4W,ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q3,53.09,85.02,0.00,SI1308EDL-T1-GE3,ESP32_C6_LIBRARY_6_SOT65P210X110-3N
R17,69.78,74.77,270.00,3K3,ERA-1AEB3401C_0201
R18,69.74,74.07,270.00,3K3,ERA-1AEB3401C_0201
R1_EP_DR,49.75,88.31,0.00,0.47,CPF0201D7K68C1_0201
R1_USB,61.48,94.35,270.00,5K1,ERA-1AEB3401C_0201
R2,68.42,94.38,90.00,0,ERA-1AEB3401C_0201
R2_EP_DR,52.55,87.06,0.00,10k,CPF0201D7K68C1_0201
R2_USB,57.95,94.21,0.00,5K1,ERA-1AEB3401C_0201
R3,67.59,71.58,90.00,0\,CPF0201D7K68C1_0201
R4,67.10,94.38,90.00,0,CPF0201D7K68C1_0201
R5,65.73,70.19,180.00,10K,ERA-1AEB3401C_0201
R7,44.30,69.02,0.00,10K,ERA-1AEB3401C_0201
R8,54.40,70.11,180.00,10K,ERA-1AEB3401C_0201
R9,64.58,87.05,270.00,10k,CPF0201D7K68C1_0201
R_TYPE_SEL,50.64,88.53,0.00,2.2,CPF0201D7K68C1_0201
SJ1,49.71,90.73,270.00,,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,47.23,69.58,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,58.12,69.56,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,69.25,69.57,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,73.50,67.45,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,75.95,69.95,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,79.25,70.63,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,36.82,74.21,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,37.22,71.61,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,40.18,67.98,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,38.18,69.40,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,42.50,67.69,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,73.55,69.85,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,74.25,88.17,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,77.28,88.42,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,75.70,67.65,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,39.17,75.15,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,77.81,68.73,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,65.84,80.61,90.00,NORDIC_NRF_4_NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,62.90,70.03,90.00,MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,58.37,84.42,270.00,32MHz,NORDIC_NRF_BT-XTAL_2016_N
X2,62.05,74.91,0.00,32.768kHz,NORDIC_NRF_1_XTAL_3215_N
